30,30002,,,井口,亮一,,イグチ,リョウイチ,0,3560023,埼玉県,ふじみ野市中ノ島,1-14-1,0460400626,,-,,,,,,,2016A/2017A/2018A/2019A/,,,,,,●,●,●,●,,,,,,,,,,
34,34001,,,赤木,金蔵,,アカギ,キンゾウ,0,2591302,神奈川県,秦野市菩提,2-17-17,0469049058,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36002,,,中根,務,,ナカネ,ツトム,0,1600005,東京都,新宿区愛住町,3-17,0378798777,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36003,,,松島,英二,,マツシマ,エイジ,0,3430857,埼玉県,越谷市新越谷,1-7,0458198894,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37002,,,藤原,竜,,フジワラ,リュウ,0,,,,,0446934218,,-,,,,,,,,,,,2010,,,,,,,,,,,,,,,
38,38003,,,石塚,豊治,,イシヅカ,トヨジ,0,3660021,埼玉県,深谷市上増田,3-17-15,0463188578,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38008,,,高瀬,俊明,,タカセ,トシアキ,0,1060045,東京都,港区麻布十番,4-18-2,0391100808,,-,,,,,,,,,,,,,,,,,,,×,,,,,,,
39,39003,,,内藤,篤仁,,ナイトウ,アツト,0,2892504,千葉県,旭市ニ,1-11-20,0470854863,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39004,,,長沢,信吉,,ナガサワ,シンキチ,0,,,,,0356867761,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39005,,,神保,康司,,ジンボ,コウジ,0,2520208,神奈川県,相模原市中央区矢部新田,4-8-4,0461946160,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39009,,,大沼,繁,,オオヌマ,シゲル,0,2020023,東京都,西東京市新町,1-18,0368376947,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40003,,,中西,裕久,,ナカニシ,ヒロヒサ,0,2530081,神奈川県,茅ヶ崎市下寺尾,1-2,0464973726,,-,,,J24004,,,,,,,,,,,,,,,,,,,,,,,
40,40007,,,鳴海,邦夫,,ナルミ,クニオ,0,1770051,東京都,練馬区関町北,3-2-7,0386601803,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40008,,,市川,大介,,イチカワ,ダイスケ,0,,,,,-,,-,,,,,,,,,,,2015,,,,,,,,,,,,,,,
40,40009,,,沼田,隆二,,ヌマタ,リュウジ,0,3690305,埼玉県,児玉郡上里町神保原町,2-15,0477603010,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40010,,,花田,光成,,ハナダ,ミツナリ,0,2520111,神奈川県,相模原市緑区川尻,2-2-6,044325939,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40013,,,坂井,定吉,,サカイ,サダキチ,0,3400821,埼玉県,八潮市伊勢野,4-20-7,0423418413,,-,,,50056,,,,,,,,,,,,,,,,,,,,,,,
41,41002,,,新川,亀太郎,,シンカワ,カメタロウ,0,2850038,千葉県,佐倉市弥勒町,4-11-19,0403434833,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41007,,,小林,敬一,,コバヤシ,ケイイチ,0,2850859,千葉県,佐倉市南ユーカリが丘,1-14-11,0426818325,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42002,,,深田,茂行,,フカダ,シゲユキ,0,2970039,千葉県,茂原市茂原西,1-1-20,040434403,,-,,中間小,,,,,,,,,,,,,,,,×,×,,,,,,,
43,43002,,,橋爪,肇,,ハシヅメ,ハジメ,0,2350044,神奈川県,横浜市磯子区峰町,4-17,0461193714,,-,,,49016,,,,,,,,,,,,,,,,,,,,,,,
43,43003,,,棚橋,良治,,タナハシ,ヨシジ,0,2891313,千葉県,山武市上横地,4-7-13,0452855662,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43004,,,安藤,省三,,アンドウ,ショウゾウ,0,,,,,-,,-,,,,,,,,,,,2015,,,,,,,,,,,,,,,
43,43005,,,瀬川,恭之,,セガワ,ヤスユキ,0,2930054,千葉県,富津市鶴岡,3-19-14,0496578158,,-,,,,,,,2016B/2017B/,,,,,,○,○,,,,,×,,,,,,,
43,43006,,,小田,保生,,オダ,ヤスオ,0,,,,,-,,-,,,,,,,,,不着,,2018/ 2017,,,,,,,,,,,,,,,
43,43007,,,川瀬,翔,,カワセ,ショウ,0,2520825,神奈川県,藤沢市獺郷,3-6-20,0447307679,,fuog=bjyowckamshou567@bnzspxyavp.ycd,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44001,,,諸星,栄一郎,,モロボシ,エイイチロウ,0,2620022,千葉県,千葉市花見川区南花園,2-3-20,045422024,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44008,,,柳川,正一,,ヤナガワ,ショウイチ,0,3430822,埼玉県,越谷市西方,2-7-19,049594540,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44009,,,倉持,武秀,,クラモチ,タケヒデ,0,1620855,東京都,新宿区二十騎町,2-16-4,0324870700,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45002,,,小椋,賢三,,オグラ,ケンゾウ,0,3680101,埼玉県,秩父郡小鹿野町下小鹿野,4-2,0416907711,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45003,,,野中,博嗣,,ノナカ,ヒロツグ,0,2840016,千葉県,四街道市もねの里,1-7,0410431697,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45006,,,岡村,弘恭,,オカムラ,ヒロユキ,0,2200002,神奈川県,横浜市西区南軽井沢,4-11-5,0468139749,,-,,東筑中,,,,,,,,,,,,,,,,,,,,,,,,
45,45008,,,福井,正平,,フクイ,ショウヘイ,0,,,,,0437625673,,-,,,,,,,,,,,2018,,,,,,,,,,,,,,,
45,45011,,,西川,滉二,,ニシカワ,コウジ,0,,,,,0491264867,,inishikawa@nzwunqxfra.jlec.nf,体操,東筑中,,,,,,,,,2018,,,,,,,,,,,,,,,
45,45012,,,玉置,喜作,,タマキ,キサク,0,3490216,埼玉県,白岡市実ケ谷,1-9-2,0436163619,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45013,,,坂東,正明,,バンドウ,マサアキ,0,2701177,千葉県,我孫子市柴崎,3-16-18,0415948273,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46002,,,三橋,敏郎,,ミハシ,トシロウ,0,,,,,046825421,,-,,,,,,,,,不着,,2018/ 2017,,,,,,,×,,,,,,,,
46,46003,,,村田,武裕,,ムラタ,タケヒロ,0,3501305,埼玉県,狭山市入間川,1-7,0421139870,,-,,東筑中,,幹,,,2016A/2017A/2018A/2019A/,,,,,,●,●,●,●,,,×,,,,,,,
46,46007,,,堀口,秀樹,,ホリグチ,ヒデキ,0,2880854,千葉県,銚子市茶畑町,3-3-16,0424489541,,-,,,,,,,2016B/,,,,,,○,,,,,,,,,,,,,
47,47001,,,中沢,洋一,,ナカザワ,ヨウイチ,0,1000006,東京都,千代田区有楽町,4-1-19,0393499893,,-,,東筑中,,幹,,,2016B/2017B/2018E/2019B/,,,,,,○,○,◎,○,欠◎,欠◎,欠◎,欠◎,欠◎,,欠席,出席,○,
47,47002,,,西沢,正徳,,ニシザワ,マサノリ,0,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
