30,30002,,井口,亮一,,イグチ,リョウイチ,0,356-0023,埼玉県ふじみ野市中ノ島1-14-1,0460400626,,-,,,,,,,,,,,,●,●,●,●,,,,,,,,,,
34,34001,,赤木,金蔵,,アカギ,キンゾウ,0,259-1302,神奈川県秦野市菩提2-17-17,0469049058,,-,,,,,,,,,,,,,,,,,,,,,,,,,
36,36002,,中根,務,,ナカネ,ツトム,0,160-0005,東京都新宿区愛住町3-17,0378798777,,-,,,,,,,,,,,,,,,,,,,,,,,,,
36,36003,,松島,英二,,マツシマ,エイジ,0,343-0857,埼玉県越谷市新越谷1-7,0458198894,,-,,,,,,,,,,,,,,,,,,,,,,,,,
37,37002,,藤原,竜,,フジワラ,リュウ,0,,,0446934218,,-,,,,,,,１０会報不着,,,2010,,,,,,,,,,,,,,,
38,38003,,石塚,豊治,,イシヅカ,トヨジ,0,366-0021,埼玉県深谷市上増田3-17-15,0463188578,,-,,,,,,,,,,,,,,,,,,,,,,,,,
38,38008,,高瀬,俊明,,タカセ,トシアキ,0,106-0045,東京都港区麻布十番4-18-2,0391100808,,-,,,,,,,,,,,,,,,,,,×,,,,,,,
39,39003,,内藤,篤仁,,ナイトウ,アツト,0,289-2504,千葉県旭市ニ1-11-20,0470854863,,-,,,,,,,,,,,,,,,,,,,,,,,,,
39,39004,,長沢,信吉,,ナガサワ,シンキチ,0,,,0356867761,,-,,,,,,,,,,,,,,,,,,,,,,,,,
39,39005,,神保,康司,,ジンボ,コウジ,0,252-0208,神奈川県相模原市中央区矢部新田4-8-4,0461946160,,-,,,,,,,,,,,,,,,,,,,,,,,,,
39,39009,,大沼,繁,,オオヌマ,シゲル,0,202-0023,東京都西東京市新町1-18,0368376947,,-,,,,,,,,,,,,,,,,,,,,,,,,,
40,40003,,中西,裕久,,ナカニシ,ヒロヒサ,0,253-0081,神奈川県茅ヶ崎市下寺尾1-2,0464973726,,-,,,J24004,,,,妻東筑,,,,,,,,,,,,,,,,,,
40,40007,,鳴海,邦夫,,ナルミ,クニオ,0,177-0051,東京都練馬区関町北3-2-7,0386601803,,-,,,,,,,,,,,,,,,,,,,,,,,,,
40,40008,,市川,大介,,イチカワ,ダイスケ,0,,,-,,-,,,,,,,１５会報不着　電話不可,,,2015,,,,,,,,,,,,,,,
40,40009,,沼田,隆二,,ヌマタ,リュウジ,0,369-0305,埼玉県児玉郡上里町神保原町2-15,0477603010,,-,,,,,,,,,,,,,,,,,,,,,,,,,
40,40010,,花田,光成,,ハナダ,ミツナリ,0,252-0111,神奈川県相模原市緑区川尻2-2-6,044325939,,-,,,,,,,,,,,,,,,,,,,,,,,,,
40,40013,,坂井,定吉,,サカイ,サダキチ,0,340-0821,埼玉県八潮市伊勢野4-20-7,0423418413,,-,,,50056,,,,妻：050056,,,,,,,,,,,,,,,,,,
41,41002,,新川,亀太郎,,シンカワ,カメタロウ,0,285-0038,千葉県佐倉市弥勒町4-11-19,0403434833,,-,,,,,,,,,,,,,,,,,,,,,,,,,
41,41007,,小林,敬一,,コバヤシ,ケイイチ,0,285-0859,千葉県佐倉市南ユーカリが丘1-14-11,0426818325,,-,,,,,,,,,,,,,,,,,,,,,,,,,
42,42002,,深田,茂行,,フカダ,シゲユキ,0,297-0039,千葉県茂原市茂原西1-1-20,040434403,,-,,中間小,,,,,,,,,,,,,,,×,×,,,,,,,
43,43002,,橋爪,肇,,ハシヅメ,ハジメ,0,235-0044,神奈川県横浜市磯子区峰町4-17,0461193714,,-,,,49016,,,,妻：049016,,,,,,,,,,,,,,,,,,
43,43003,,棚橋,良治,,タナハシ,ヨシジ,0,289-1313,千葉県山武市上横地4-7-13,0452855662,,-,,,,,,,,,,,,,,,,,,,,,,,,,
43,43004,,安藤,省三,,アンドウ,ショウゾウ,0,,,-,,-,,,,,,,１５会報不着　電話不可,,,2015,,,,,,,,,,,,,,,
43,43005,,瀬川,恭之,,セガワ,ヤスユキ,0,293-0054,千葉県富津市鶴岡3-19-14,0496578158,,-,,,,,,,呼吸器不良のため勧誘不可,,,,,○,○,,,,,×,,,,,,,
43,43006,,小田,保生,,オダ,ヤスオ,0,,,-,,-,,,,,,,2017会報不着,不着,,2018/ 2017,,,,,,,,,,,,,,,
43,43007,,川瀬,翔,,カワセ,ショウ,0,252-0825,神奈川県藤沢市獺郷3-6-20,0447307679,,fuog=bjyowckamshou567@bnzspxyavp.ycd,,,,,,,,,,,,,,,,,,,,,,,,,
44,44001,,諸星,栄一郎,,モロボシ,エイイチロウ,0,262-0022,千葉県千葉市花見川区南花園2-3-20,045422024,,-,,,,,,,,,,,,,,,,,,,,,,,,,
44,44008,,柳川,正一,,ヤナガワ,ショウイチ,0,343-0822,埼玉県越谷市西方2-7-19,049594540,,-,,,,,,,,,,,,,,,,,,,,,,,,,
44,44009,,倉持,武秀,,クラモチ,タケヒデ,0,162-0855,東京都新宿区二十騎町2-16-4,0324870700,,-,,,,,,,,,,,,,,,,,,,,,,,,,
45,45002,,小椋,賢三,,オグラ,ケンゾウ,0,368-0101,埼玉県秩父郡小鹿野町下小鹿野4-2,0416907711,,-,,,,,,,,,,,,,,,,,,,,,,,,,
45,45003,,野中,博嗣,,ノナカ,ヒロツグ,0,284-0016,千葉県四街道市もねの里1-7,0410431697,,-,,,,,,,,,,,,,,,,,,,,,,,,,
45,45006,,岡村,弘恭,,オカムラ,ヒロユキ,0,220-0002,神奈川県横浜市西区南軽井沢4-11-5,0468139749,,-,,東筑中,,,,,,,,,,,,,,,,,,,,,,,
45,45008,,福井,正平,,フクイ,ショウヘイ,0,,,0437625673,,-,,,,,,,,,,2018,,,,,,,,,,,,,,,
45,45011,,西川,滉二,,ニシカワ,コウジ,0,,,0491264867,,inishikawa@nzwunqxfra.jlec.nf,体操,東筑中,,,,,,,,2018,,,,,,,,,,,,,,,
45,45012,,玉置,喜作,,タマキ,キサク,0,349-0216,埼玉県白岡市実ケ谷1-9-2,0436163619,,-,,,,,,,,,,,,,,,,,,,,,,,,,
45,45013,,坂東,正明,,バンドウ,マサアキ,0,270-1177,千葉県我孫子市柴崎3-16-18,0415948273,,-,,,,,,,,,,,,,,,,,,,,,,,,,
46,46002,,三橋,敏郎,,ミハシ,トシロウ,0,,,046825421,,-,,,,,,,2017会報不着,不着,,2018/ 2017,,,,,,,×,,,,,,,,
46,46003,,村田,武裕,,ムラタ,タケヒロ,0,350-1305,埼玉県狭山市入間川1-7,0421139870,,-,,東筑中,,幹,,,,,,,,●,●,●,●,,,×,,,,,,,
46,46007,,堀口,秀樹,,ホリグチ,ヒデキ,0,288-0854,千葉県銚子市茶畑町3-3-16,0424489541,,-,,,,,,,,,,,,○,,,,,,,,,,,,,
47,47001,,中沢,洋一,,ナカザワ,ヨウイチ,0,100-0006,東京都千代田区有楽町4-1-19,0393499893,,-,,東筑中,,幹,,,,,,,,○,○,◎,○,欠◎,欠◎,欠◎,欠◎,欠◎,,欠席,出席,○,
47,47002,,西沢,正徳,,ニシザワ,マサノリ,0,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,
47,47003,,滝口,英一,,タキグチ,エイイチ,0,103-0004,東京都中央区東日本橋3-14-4,0372840594,,-,,,,,,,,,,,,,,,,,,,,,,,,,
47,47007,,柳瀬,文隆,,ヤナセ,フミタカ,0,350-1325,埼玉県狭山市根岸1-4,0475902922,,-,,,,,,,,,,,,,,,,,,,,,,,,,
47,47010,,黒岩,俊行,,クロイワ,トシユキ,0,270-1367,千葉県印西市浦部1-1-2,0428991534,,-,,,,,,,,,,,,,,,,,,,,,,,,,
47,47011,,高岡,穰,,タカオカ,ユタカ,0,206-0002,東京都多摩市一ノ宮1-20,0394105616,,-,バスケット,東筑中,,,,28/8事務所電話03-3296-0118（もしくは9118）,28/8事務所電話03-3296-0118（もしくは9118）,,,,,○,○,○,○,,×,◎,◎,×,,,,,
47,47012,,伏見,桜丞,,フシミ,オウスケ,0,215-0021,神奈川県川崎市麻生区上麻生4-3-15,0445296069,,-,,,,,,,,,,,,,○,○,○,,,,,,,,,,
47,47016,,河上,芳人,,カワカミ,ヨシヒト,0,350-0255,埼玉県坂戸市成願寺2-8-9,0452239936,,-,,,,,,,体調不良,,,,,,,,,,,,,,,,,,
48,48001,,藤木,光男,,フジキ,ミツオ,0,367-0233,埼玉県児玉郡神川町二ノ宮2-1-17,0429513105,,-,,,,,,,,,,,,,,,,,,,,,,,,,
48,48004,,相沢,詩織,,アイザワ,シオリ,1,331-0069,埼玉県さいたま市西区湯木町2-9-6,0494809157,,-,,,,,,,,,,,,,,,,,,,,,,,,,
48,48005,,永井,駿乃介,,ナガイ,シュンノスケ,0,270-1612,千葉県印西市大廻4-19-3,0472863430,,-,軟式テニス,東筑中,,,,名簿未変更。,体調不良,,,,,○,○,,,,○,×,,,,,欠席,,
48,48007,,長谷部,京一郎,,ハセベ,キョウイチロウ,0,289-2704,千葉県旭市上永井4-15-12,0424046201,,-,,東筑中,,,,,病気療養中,,,,,,○,○,○,,◎,,◎,◎,,出席,出席,○,
48,48008,,正木,玲磨,,マサキ,レイマ,0,240-0024,神奈川県横浜市保土ケ谷区瀬戸ケ谷町4-12-12,0465809539,,reima1846@pzqrl.guu,,東筑中,,,,,,,,,,○,○,○,○,◎,◎,◎,◎,◎,,欠席,出席,,
